Escala,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
10,3.6591466157211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1612565525541125,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,2.8676178642469345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369281663974412,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369281663974412,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,2.7646271334073695,0.0,0.0,0.0,0.0,0.0,5.488538540752336,0.0,6.373413437769323,6.454066085640492,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,2.7646271334073695,0.0,0.0,0.0,0.0,0.0,5.488538540752336,0.0,6.373413437769323,6.454066085640492,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,3.636067680370367,3.704382405798795,0.0,0.0,0.0,3.77332715398084,6.772038755297097,0.0,6.310152496294082,4.593926080329511,0.0,0.0
17,0.0,0.0,0.0,0.0,4.257089600530136,0.0,3.0762278271039847,2.7772198485370168,0.0,0.0,0.0,0.0,12.527496673956763,0.0,11.465809095244373,8.769268649373618,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.004004690937934,7.309517739982182,3.466637240288166,13.31059660436548,8.32215648059056,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.004004690937934,7.309517739982182,3.466637240288166,13.31059660436548,8.32215648059056,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,6.122095602774575,6.599577901433764,0.0,0.0,0.0,5.181803990270241,10.578548380462896,6.339922628421961,16.318532134550995,10.388368262540803,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,6.122095602774575,6.599577901433764,0.0,0.0,0.0,5.181803990270241,10.578548380462896,6.339922628421961,16.318532134550995,10.388368262540803,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,3.102931352517815,4.658718646997579,4.697477275795737,0.0,0.0,0.0,0.0,9.84683691228301,6.439011885970407,11.94277701564997,15.28437866779978,2.9362569521939266,0.0
23,0.0,0.0,0.0,0.0,0.0,3.102931352517815,4.658718646997579,4.697477275795737,0.0,0.0,0.0,0.0,9.84683691228301,6.439011885970407,11.94277701564997,15.28437866779978,2.9362569521939266,0.0
24,0.0,0.0,0.0,4.154328235267919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.913865298878725,14.174472789728735,6.204993034893823,18.321360128203516,16.07261282611077,3.8208239124546206,0.0
25,0.0,0.0,0.0,4.154328235267919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.913865298878725,14.174472789728735,6.204993034893823,18.321360128203516,16.07261282611077,3.8208239124546206,0.0
26,0.0,14.715679110044531,4.148601393717235,0.0,0.0,0.0,0.0,0.0,0.0,3.249884100213991,0.0,2.833807934903311,12.343480305186363,8.464022625118071,16.861135473036335,17.452991547972655,0.0,0.0
27,0.0,14.16354664816715,0.0,4.7933414903155045,0.0,0.0,0.0,0.0,0.0,3.3695253909951584,0.0,0.0,11.668898261063031,7.432883923729316,14.297345392512614,14.932612229921713,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.022061097096476,8.267183080118729,18.2911039186502,13.798690207258694,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.022061097096476,8.267183080118729,18.2911039186502,13.798690207258694,0.0,0.0
30,0.0,0.0,4.463607706914758,0.0,3.8955034745807566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.963861785837718,6.467747017028856,22.876196740784703,16.634148170326746,0.0,0.0
